university_name,teaching,international,research,citations_times,income,total_score_times,num_students,student_staff_ratio,international_students,female_male_ratio,year_times,national_rank_times,national_rank_cwur,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations_cwur,broad_impact,patents,total_score_cwur,year_cwur,national_rank_shang,total_score_shang,alumni,award,hici,ns,pub,pcp,year_shang,weighted_score,weighted_rank
Harvard University,83.6,77.2,99.0,99.8,45.2,91.6,"20,152",8.9,25%,,2016,4,1,1,1,1,1,1,1,1.0,3,100.0,2015,1,100.0,100.0,100.0,100.0,100.0,100.0,76.6,2015,0.98,1
Stanford University,92.5,76.3,96.2,99.9,63.3,93.9,"15,596",7.8,22%,42 : 58,2016,2,2,9,2,4,5,3,3,4.0,10,98.66,2015,2,73.3,40.7,89.6,80.1,70.1,70.6,53.8,2015,0.92,2
Massachusetts Institute Technology,89.4,84.0,88.6,99.7,95.4,92.0,"11,074",9.0,33%,37 : 63,2016,3,3,3,11,2,15,2,2,2.0,1,97.54,2015,3,70.4,68.2,80.7,60.6,73.1,61.1,68.0,2015,0.9,3
California Institute Technology,95.6,64.0,97.6,99.8,97.8,95.2,"2,243",6.9,27%,33 : 67,2016,1,10,6,328,7,53,9,19,25.0,13,84.4,2015,6,59.6,49.5,66.7,49.3,56.4,44.0,100.0,2015,0.86,4
University California Berkeley,80.4,61.9,91.1,99.7,47.9,87.2,"36,186",16.4,15%,50 : 50,2016,9,5,5,21,6,10,4,4,7.0,29,92.25,2015,4,69.6,65.1,79.4,66.1,65.6,67.9,56.5,2015,0.86,4
Princeton University,85.1,78.5,91.9,99.3,52.1,90.1,"7,929",8.4,27%,45 : 55,2016,5,7,4,15,3,72,25,24,33.0,225,89.42,2015,5,61.0,53.3,93.4,57.1,43.0,42.4,70.3,2015,0.85,5
Columbia University,85.9,73.5,82.2,98.1,-,86.1,"25,055",5.9,28%,,2016,10,4,13,6,9,13,13,11,12.0,4,96.14,2015,7,58.8,63.5,65.9,52.1,51.9,68.8,33.2,2015,0.84,6
University Chicago,85.7,65.0,88.9,99.2,36.6,87.9,"14,221",6.9,21%,42 : 58,2016,6,6,11,14,8,17,16,12,22.0,141,90.7,2015,8,57.1,59.8,86.3,49.0,42.9,49.8,42.0,2015,0.83,7
Yale University,86.5,64.3,87.8,97.2,43.3,87.4,"11,751",4.4,20%,50 : 50,2016,8,9,10,26,11,18,8,35,20.0,49,86.61,2015,9,54.5,47.6,50.4,51.0,58.8,63.0,37.8,2015,0.82,8
Cornell University,77.9,63.9,86.1,97.2,33.7,84.0,"21,424",10.2,19%,48 : 52,2016,13,8,12,18,14,24,15,25,22.0,11,86.79,2015,11,50.5,42.0,49.8,50.4,45.3,59.9,40.2,2015,0.78,9
University California Los Angeles,80.8,56.4,88.6,98.5,47.9,85.8,"38,206",10.3,15%,52 : 48,2016,11,12,28,27,13,6,14,8,6.0,9,76.91,2015,10,50.7,29.5,47.1,52.3,47.2,70.7,31.6,2015,0.77,10
Johns Hopkins University,77.6,70.0,90.4,98.2,100.0,87.6,"15,128",3.6,23%,50 : 50,2016,7,13,18,84,16,4,11,5,3.0,2,71.6,2015,14,46.3,37.7,33.6,44.0,44.9,70.2,28.8,2015,0.76,11
University Pennsylvania,82.0,49.5,86.9,98.6,47.9,85.2,"20,376",6.5,20%,51 : 49,2016,12,11,20,4,28,8,18,14,9.0,14,77.6,2015,15,46.1,31.6,33.8,49.6,39.6,67.7,37.4,2015,0.76,11
Duke University,76.0,56.5,78.0,99.0,100.0,82.7,"15,172",4.8,17%,49 : 51,2016,14,20,74,31,56,19,23,15,16.0,33,61.55,2015,23,38.0,15.4,14.9,50.2,39.0,61.7,23.9,2015,0.68,12
Northwestern University,69.8,53.9,78.4,96.5,81.2,79.5,"18,334",13.8,15%,48 : 52,2016,17,17,163,12,104,27,34,27,26.0,42,66.56,2015,19,38.8,15.4,22.1,50.3,37.0,58.1,28.8,2015,0.68,12
New York University,74.7,49.3,72.3,95.3,30.4,77.2,"42,056",6.8,19%,55 : 45,2016,18,14,32,22,18,47,29,46,32.0,43,68.39,2015,19,38.8,28.1,31.9,35.2,40.3,56.2,23.3,2015,0.67,13
University California San Diego,56.9,42.9,69.8,98.7,56.7,72.2,"27,233",6.5,11%,48 : 52,2016,21,16,36,567,19,16,5,15,15.0,17,66.59,2015,12,48.7,19.2,35.5,56.6,55.1,62.9,36.6,2015,0.67,13
University Washington,67.1,51.2,70.0,98.6,43.1,75.6,"44,020",11.8,13%,53 : 47,2016,19,23,48,103,41,9,10,10,5.0,40,60.61,2015,13,47.8,21.2,31.6,53.0,51.7,71.9,29.3,2015,0.67,13
Carnegie Mellon University,67.4,57.1,88.8,99.1,57.5,82.3,"11,885",13.1,35%,39 : 61,2016,16,39,25,160,23,211,225,78,150.0,165,54.0,2015,37,29.2,31.6,31.6,28.6,15.2,34.3,34.4,2015,0.64,14
University Texas Austin,59.3,31.7,69.7,92.2,63.1,70.3,"49,427",17.4,9%,51 : 49,2016,24,22,75,36,25,48,50,26,71.0,38,61.14,2015,27,34.8,16.2,16.3,38.6,37.5,56.0,26.6,2015,0.61,15
University California Santa Barbara,52.6,61.5,66.0,99.2,90.4,72.2,"22,020",27.3,11%,52 : 48,2016,21,40,133,280,29,111,59,46,55.0,77,53.63,2015,28,34.6,14.5,39.1,38.7,27.5,37.3,38.0,2015,0.6,16
University California Davis,60.1,58.4,72.7,84.3,57.3,71.0,"35,364",13.9,13%,54 : 46,2016,23,36,54,227,59,29,33,35,52.0,62,54.85,2015,35,29.7,0.0,0.0,41.0,33.0,58.0,26.0,2015,0.59,17
University North Carolina Chapel Hill,58.0,39.0,54.5,95.9,39.4,66.4,"26,518",7.3,8%,58 : 42,2016,28,25,124,69,86,32,32,19,21.0,41,57.09,2015,29,34.4,8.9,16.3,39.8,33.5,61.2,25.6,2015,0.58,18
Brown University,62.8,57.8,55.7,96.4,31.4,69.6,"8,653",10.1,19%,,2016,26,50,64,43,73,121,67,76,99.0,200,52.01,2015,43,27.0,14.5,13.3,26.2,25.1,43.6,32.8,2015,0.56,19
Georgia Institute Technology,57.8,71.5,72.7,86.0,73.7,72.1,"19,967",20.1,26%,31 : 69,2016,22,48,135,60,218,107,152,78,106.0,36,52.08,2015,52,20.0,12.6,0.0,30.3,22.4,43.2,28.1,2015,0.56,19
University Southern California,49.3,56.3,58.9,93.0,38.0,65.5,"36,534",12.9,20%,52 : 48,2016,31,34,152,62,39,57,64,101,56.0,34,55.12,2015,32,31.3,0.0,31.7,35.6,22.1,53.2,20.3,2015,0.56,19
Boston University,57.8,51.0,49.5,97.7,30.3,66.1,"24,789",8.6,17%,58 : 42,2016,29,41,303,54,83,60,45,37,34.0,135,53.43,2015,42,27.3,11.5,11.5,29.1,26.3,49.5,21.8,2015,0.54,20
University Colorado Boulder,39.7,36.6,37.6,96.4,35.7,55.8,"29,325",16.1,8%,45 : 55,2016,46,37,80,67,31,96,38,45,74.0,133,54.62,2015,26,36.0,12.6,34.1,37.1,36.0,45.0,34.2,2015,0.52,21
University Maryland College Park,45.0,43.5,42.1,88.2,32.3,56.7,"31,331",8.4,9%,48 : 52,2016,43,45,68,210,43,58,47,39,67.0,280,52.72,2015,30,32.8,19.2,20.0,33.0,31.6,52.7,26.5,2015,0.52,21
Vanderbilt University,47.8,29.1,44.2,95.7,63.2,60.1,"12,161",3.6,10%,52 : 48,2016,34,43,87,94,110,55,62,59,41.0,51,53.05,2015,34,30.2,15.4,29.0,28.4,21.8,51.0,19.0,2015,0.52,21
University California Irvine,39.9,59.2,41.8,91.6,48.9,57.7,"26,614",16.1,16%,52 : 48,2016,40,52,227,567,44,78,51,68,54.0,162,51.51,2015,33,31.0,0.0,29.3,34.3,28.9,45.3,27.5,2015,0.51,22
Dartmouth College,50.7,38.3,35.8,93.3,40.8,57.8,"6,178",6.6,16%,47 : 53,2016,39,28,40,19,218,246,167,136,154.0,63,56.35,2015,79,20.0,17.8,0.0,20.7,14.4,25.4,20.6,2015,0.5,23
Emory University,48.3,51.0,37.1,96.7,48.9,59.7,"12,338",4.5,18%,56 : 44,2016,35,51,367,146,116,67,60,93,41.0,55,51.85,2015,52,20.0,0.0,0.0,28.4,22.0,51.3,18.0,2015,0.5,23
Rice University,37.9,66.6,35.1,99.7,41.7,57.9,"6,333",9.0,26%,44 : 56,2016,38,61,52,161,95,255,150,59,130.0,76,49.73,2015,45,26.0,16.2,21.7,28.1,22.8,29.2,34.3,2015,0.5,23
University Florida,51.8,33.3,56.8,67.7,-,56.1,"50,095",18.7,9%,54 : 46,2016,44,38,214,276,96,37,73,46,59.0,5,54.18,2015,44,26.2,17.0,0.0,30.9,21.0,58.7,17.3,2015,0.5,23
Michigan State University,47.3,56.4,52.6,76.8,32.2,58.0,"44,750",15.7,15%,51 : 49,2016,37,60,112,162,218,88,123,65,111.0,136,49.74,2015,50,24.0,8.9,0.0,30.7,21.8,50.6,18.9,2015,0.49,24
Georgetown University,54.4,52.7,39.3,82.5,80.7,58.8,"15,408",8.5,14%,53 : 47,2016,36,59,159,34,218,298,321,321,204.0,122,49.92,2015,103,20.0,0.0,0.0,11.1,7.5,31.7,17.9,2015,0.48,25
University Notre Dame,47.6,47.6,48.1,81.7,33.7,57.6,"11,829",13.8,10%,44 : 56,2016,41,47,221,24,155,242,242,182,235.0,352,52.27,2015,79,20.0,12.6,0.0,17.5,13.9,31.8,20.0,2015,0.48,25
Tufts University,45.2,49.4,33.3,90.1,60.7,55.8,"10,410",10.0,14%,54 : 46,2016,46,54,60,48,182,166,160,93,85.0,84,51.22,2015,52,20.0,18.5,16.3,20.1,15.4,34.9,25.7,2015,0.47,26
University California Santa Cruz,31.1,45.6,34.2,99.9,36.1,53.9,"17,404",22.7,1%,53 : 47,2016,49,71,175,567,100,243,49,115,99.0,183,48.59,2015,47,24.5,0.0,0.0,37.9,33.9,29.0,37.6,2015,0.47,26
University Virginia,38.8,43.4,37.5,87.3,37.9,53.3,"23,845",10.2,12%,52 : 48,2016,50,26,209,20,126,94,74,88,90.0,97,56.73,2015,52,20.0,0.0,0.0,27.0,27.7,43.7,19.1,2015,0.47,26
Case Western Reserve University,46.1,40.5,33.2,92.0,34.1,55.3,"9,259",6.4,17%,48 : 52,2016,47,57,50,215,195,137,106,59,74.0,111,50.28,2015,52,20.0,30.3,10.9,15.9,19.0,39.7,22.9,2015,0.46,27
University Arizona,38.7,38.6,41.8,79.5,32.4,51.7,"36,429",12.7,8%,52 : 48,2016,53,42,139,55,87,74,39,31,49.0,235,53.26,2015,46,24.7,14.5,0.0,27.2,27.5,48.4,20.3,2015,0.46,27
University Rochester,39.7,55.8,27.9,89.0,37.0,52.1,"9,390",4.5,26%,49 : 51,2016,51,49,72,53,113,114,118,68,79.0,64,52.03,2015,52,20.0,24.6,7.7,25.2,20.8,39.0,20.8,2015,0.46,27
